file index:54, before 2048:0.984, after 2048:0.984, before 256:0.974, after 256:0.990, cost:0.3333 min, ETA:18.3333 min,         Acc:0.984, Precision:0.972, Recall:1.000, F1:0.986,[TP:35, FP:1, TN:28, FN:0]
file index:55, before 2048:0.391, after 2048:0.391, before 256:0.906, after 256:0.920, cost:0.3167 min, ETA:17.1000 min,         Acc:0.391, Precision:0.071, Recall:1.000, F1:0.133,[TP:3, FP:39, TN:22, FN:0]
file index:56, before 2048:0.859, after 2048:0.859, before 256:0.952, after 256:0.967, cost:0.3333 min, ETA:17.6667 min,         Acc:0.859, Precision:0.750, Recall:1.000, F1:0.857,[TP:27, FP:9, TN:28, FN:0]
file index:57, before 2048:0.984, after 2048:0.984, before 256:0.978, after 256:0.993, cost:0.3333 min, ETA:17.3333 min,         Acc:0.984, Precision:0.983, Recall:1.000, F1:0.992,[TP:59, FP:1, TN:4, FN:0]
file index:58, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.994, cost:0.3333 min, ETA:17.0000 min,         Acc:0.984, Precision:0.983, Recall:1.000, F1:0.992,[TP:59, FP:1, TN:4, FN:0]
file index:59, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.994, cost:0.3333 min, ETA:16.6667 min,         Acc:0.984, Precision:0.983, Recall:1.000, F1:0.992,[TP:59, FP:1, TN:4, FN:0]
file index:60, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.995, cost:0.3333 min, ETA:16.3333 min,         Acc:0.984, Precision:0.983, Recall:1.000, F1:0.992,[TP:59, FP:1, TN:4, FN:0]
file index:61, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.994, cost:0.3333 min, ETA:16.0000 min,         Acc:0.984, Precision:0.983, Recall:1.000, F1:0.992,[TP:59, FP:1, TN:4, FN:0]
file index:62, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.995, cost:0.3500 min, ETA:16.4500 min,         Acc:0.984, Precision:0.983, Recall:1.000, F1:0.992,[TP:59, FP:1, TN:4, FN:0]
file index:63, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.995, cost:0.3333 min, ETA:15.3333 min,         Acc:0.984, Precision:0.983, Recall:1.000, F1:0.992,[TP:59, FP:1, TN:4, FN:0]
