file index:50, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2667 min, ETA:15.7333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:51, before 2048:0.984, after 2048:0.984, before 256:0.984, after 256:0.999, cost:0.2667 min, ETA:15.4667 min,         Acc:0.984, Precision:0.973, Recall:1.000, F1:0.986,[TP:36, FP:1, TN:27, FN:0]
file index:52, before 2048:0.969, after 2048:0.969, before 256:0.984, after 256:0.999, cost:0.2667 min, ETA:15.2000 min,         Acc:0.969, Precision:1.000, Recall:0.947, F1:0.973,[TP:36, FP:0, TN:26, FN:2]
file index:53, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2833 min, ETA:15.8667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:36, FP:0, TN:28, FN:0]
file index:54, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.3000 min, ETA:16.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:36, FP:0, TN:28, FN:0]
file index:55, before 2048:0.812, after 2048:0.812, before 256:0.932, after 256:0.946, cost:0.2667 min, ETA:14.4000 min,         Acc:0.812, Precision:0.714, Recall:1.000, F1:0.833,[TP:30, FP:12, TN:22, FN:0]
file index:56, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.2833 min, ETA:15.0167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:36, FP:0, TN:28, FN:0]
file index:57, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2667 min, ETA:13.8667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:58, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2833 min, ETA:14.4500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
file index:59, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2833 min, ETA:14.1667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:60, FP:0, TN:4, FN:0]
