file index:100, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.4000 min, ETA:3.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:50, FP:0, TN:14, FN:0]
file index:101, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.997, cost:0.4000 min, ETA:3.2000 min,         Acc:0.984, Precision:1.000, Recall:0.983, F1:0.991,[TP:58, FP:0, TN:5, FN:1]
file index:102, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.4000 min, ETA:2.8000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:103, before 2048:1.000, after 2048:1.000, before 256:0.980, after 256:0.996, cost:0.4000 min, ETA:2.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:104, before 2048:1.000, after 2048:1.000, before 256:0.980, after 256:0.995, cost:0.4000 min, ETA:2.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:105, before 2048:1.000, after 2048:1.000, before 256:0.980, after 256:0.996, cost:0.4000 min, ETA:1.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:106, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.4000 min, ETA:1.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:107, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.997, cost:0.4000 min, ETA:0.8000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:108, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.4000 min, ETA:0.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
file index:109, before 2048:1.000, after 2048:1.000, before 256:0.978, after 256:0.994, cost:0.4000 min, ETA:0.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:58, FP:0, TN:6, FN:0]
AVG_Acc:0.983, AVG_Precision:0.979, AVG_Recall:0.998, AVG_F1:0.985
